# rgkmax   total energy (Ha)          Delta E
1          -60.633722468086           --
2          -73.835796923559           13.202074455473
3          -76.014515792223            2.178718868664
4          -76.335085700773            0.320569908550
5          -76.423835431093            0.088749730320
6          -76.471153014858            0.047317583765
7          -76.484644210338            0.013491195480
8          -76.487506809981            0.002862599643
9          -76.498888308789            0.011381498808
10         -76.537458486075            0.038570177286
11         -76.506465694443            0.030992791632
12         -76.518550874711            0.012085180268
13         -76.543926958618            0.025376083907
14         -76.518699294295            0.025227664323
15         -76.592046563461            0.073347269166
16         -76.594058328344            0.002011764883
17         -76.611864967288            0.017806638944
18         -76.613640167590            0.001775200302
19         -76.629438087452            0.015797919862
20         -76.630739726988            0.001301639536
21         -76.644627327361            0.013887600373
