# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 862
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.30774 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000100       0.000000       0.000000       0.000000       0.000100       
41      0.000100       0.000000       0.000000       0.000000       0.000100       
68      0.000100       0.000000       0.000000       0.000000       0.000100       
144     0.000064       0.000000       0.000000       0.000000       0.000064       
173     0.000064       0.000000       0.000000       0.000000       0.000064       
215     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005060       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.55683 eV
atom    s              p_x            p_y            p_z            tot            
14      0.001681       0.000009       0.000025       0.000009       0.001724       
41      0.001681       0.000049       0.000000       0.000009       0.001739       
68      0.001681       0.000004       0.000081       0.000000       0.001766       
173     0.000361       0.000016       0.000000       0.000000       0.000377       
197     0.000361       0.000000       0.000000       0.000016       0.000377       
215     0.013225       0.000004       0.000000       0.000025       0.013254       
tot     0.021575       0.000154       0.000182       0.000114       0.993000

Band 3   energy = -7.29101 eV
atom    s              p_x            p_y            p_z            tot            
74      0.000361       0.000000       0.000000       0.000000       0.000361       
100     0.000225       0.000000       0.000000       0.000000       0.000225       
126     0.000225       0.000000       0.000000       0.000000       0.000225       
137     0.000196       0.000000       0.000000       0.000000       0.000196       
180     0.000256       0.000000       0.000000       0.000000       0.000256       
213     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005559       0.000030       0.000047       0.000058       0.993000

Band 4   energy = -7.29100 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000000       0.000256       
49      0.000169       0.000000       0.000000       0.000000       0.000169       
50      0.000169       0.000000       0.000000       0.000000       0.000169       
161     0.000196       0.000000       0.000000       0.000000       0.000196       
163     0.000196       0.000000       0.000000       0.000000       0.000196       
209     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005525       0.000044       0.000040       0.000000       0.993000

Band 5   energy = -7.23897 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000225       0.000000       0.000000       0.000000       0.000225       
66      0.000225       0.000000       0.000000       0.000000       0.000225       
82      0.000225       0.000000       0.000000       0.000000       0.000225       
151     0.000256       0.000000       0.000000       0.000000       0.000256       
178     0.000225       0.000000       0.000000       0.000000       0.000225       
188     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005520       0.000101       0.000096       0.000000       0.993000

Band 6   energy = -7.23896 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000169       0.000000       0.000000       0.000000       0.000169       
53      0.000196       0.000000       0.000000       0.000000       0.000196       
78      0.000225       0.000000       0.000000       0.000000       0.000225       
105     0.000169       0.000000       0.000000       0.000000       0.000169       
154     0.000225       0.000000       0.000000       0.000000       0.000225       
176     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005500       0.000014       0.000010       0.000168       0.993000

Band 7   energy = -7.16036 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000289       0.000000       0.000000       0.000001       0.000290       
46      0.000289       0.000001       0.000000       0.000000       0.000290       
73      0.000289       0.000000       0.000001       0.000000       0.000290       
99      0.000576       0.000000       0.000000       0.000000       0.000576       
125     0.000729       0.000000       0.000000       0.000000       0.000729       
170     0.000196       0.000004       0.000000       0.000000       0.000200       
tot     0.006140       0.000073       0.000080       0.000095       0.993000

Band 8   energy = -6.69071 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000400       0.000000       0.000000       0.000004       0.000404       
14      0.000361       0.000009       0.000025       0.000025       0.000420       
41      0.000361       0.000100       0.000000       0.000004       0.000465       
68      0.000361       0.000001       0.000121       0.000000       0.000483       
90      0.000625       0.000000       0.000000       0.000000       0.000625       
215     0.007569       0.000001       0.000000       0.000009       0.007579       
tot     0.013539       0.000241       0.000260       0.000175       0.993000

Band 9   energy = -6.29605 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000289       0.000000       0.000000       0.000000       0.000289       
34      0.000289       0.000000       0.000000       0.000000       0.000289       
54      0.000324       0.000000       0.000000       0.000000       0.000324       
89      0.000196       0.000000       0.000000       0.000000       0.000196       
120     0.000484       0.000000       0.000000       0.000000       0.000484       
129     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005442       0.000001       0.000279       0.000227       0.992000

Band 10   energy = -6.29605 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000324       0.000000       0.000000       0.000000       0.000324       
65      0.000256       0.000000       0.000001       0.000000       0.000257       
81      0.000289       0.000000       0.000000       0.000000       0.000289       
87      0.000256       0.000000       0.000000       0.000000       0.000256       
118     0.000625       0.000000       0.000000       0.000000       0.000625       
184     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005461       0.000362       0.000014       0.000108       0.992000

Band 11   energy = -6.28011 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000361       0.000000       0.000004       0.000000       0.000365       
56      0.000400       0.000000       0.000001       0.000000       0.000401       
102     0.000324       0.000001       0.000000       0.000000       0.000325       
128     0.000441       0.000000       0.000000       0.000000       0.000441       
137     0.000324       0.000000       0.000000       0.000000       0.000324       
162     0.000784       0.000000       0.000000       0.000000       0.000784       
tot     0.006317       0.000186       0.000165       0.000088       0.992000

Band 12   energy = -6.28010 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000289       0.000000       0.000000       0.000004       0.000293       
51      0.000441       0.000000       0.000001       0.000000       0.000442       
80      0.000484       0.000001       0.000000       0.000000       0.000485       
91      0.000400       0.000000       0.000000       0.000004       0.000404       
117     0.000484       0.000000       0.000000       0.000000       0.000484       
210     0.000961       0.000000       0.000000       0.000000       0.000961       
tot     0.006432       0.000082       0.000092       0.000187       0.992000

Band 13   energy = -6.26577 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000169       0.000000       0.000000       0.000000       0.000169       
85      0.000169       0.000000       0.000000       0.000000       0.000169       
93      0.000169       0.000000       0.000000       0.000000       0.000169       
96      0.000169       0.000000       0.000000       0.000000       0.000169       
104     0.000169       0.000000       0.000000       0.000000       0.000169       
106     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004644       0.000140       0.000239       0.000012       0.992000

Band 14   energy = -6.23435 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000441       0.000004       0.000000       0.000000       0.000445       
63      0.000441       0.000000       0.000004       0.000000       0.000445       
99      0.000841       0.000000       0.000000       0.000000       0.000841       
116     0.001024       0.000000       0.000000       0.000000       0.001024       
143     0.000484       0.000000       0.000004       0.000000       0.000488       
170     0.000484       0.000001       0.000000       0.000000       0.000485       
tot     0.006782       0.000114       0.000101       0.000223       0.992000

Band 15   energy = -6.23313 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000529       0.000000       0.000000       0.000001       0.000530       
45      0.000289       0.000000       0.000001       0.000000       0.000290       
72      0.000324       0.000000       0.000000       0.000000       0.000324       
107     0.000361       0.000000       0.000000       0.000000       0.000361       
124     0.000400       0.000000       0.000000       0.000000       0.000400       
188     0.000729       0.000000       0.000000       0.000000       0.000729       
tot     0.006224       0.000088       0.000088       0.000154       0.992000

Band 16   energy = -6.23312 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000256       0.000000       0.000000       0.000000       0.000256       
69      0.000441       0.000000       0.000000       0.000000       0.000441       
88      0.000289       0.000000       0.000004       0.000000       0.000293       
115     0.000324       0.000000       0.000000       0.000000       0.000324       
145     0.000576       0.000000       0.000000       0.000000       0.000576       
194     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.006171       0.000179       0.000166       0.000106       0.992000

Band 17   energy = -6.18019 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000225       0.000000       0.000001       0.000001       0.000227       
86      0.000256       0.000000       0.000000       0.000000       0.000256       
108     0.000289       0.000000       0.000000       0.000000       0.000289       
112     0.000361       0.000000       0.000000       0.000000       0.000361       
149     0.000225       0.000000       0.000000       0.000000       0.000225       
172     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004942       0.000049       0.000061       0.000245       0.992000

Band 18   energy = -6.18019 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000256       0.000000       0.000000       0.000000       0.000256       
17      0.000256       0.000000       0.000000       0.000000       0.000256       
121     0.000196       0.000000       0.000000       0.000000       0.000196       
123     0.000196       0.000000       0.000000       0.000000       0.000196       
208     0.000256       0.000000       0.000000       0.000000       0.000256       
