# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 864
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.38031 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000064       0.000000       0.000000       0.000000       0.000064       
46      0.000064       0.000000       0.000000       0.000000       0.000064       
73      0.000064       0.000000       0.000000       0.000000       0.000064       
99      0.000064       0.000000       0.000000       0.000000       0.000064       
125     0.000081       0.000000       0.000000       0.000000       0.000081       
158     0.000064       0.000000       0.000000       0.000000       0.000064       
tot     0.005160       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.51080 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000784       0.000009       0.000009       0.000000       0.000802       
41      0.000784       0.000009       0.000000       0.000009       0.000802       
68      0.000784       0.000004       0.000016       0.000000       0.000804       
144     0.000441       0.000000       0.000004       0.000000       0.000445       
173     0.000441       0.000004       0.000000       0.000000       0.000445       
215     0.003844       0.000004       0.000000       0.000016       0.003864       
tot     0.011148       0.000093       0.000097       0.000081       0.993000

Band 3   energy = -7.37913 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000324       0.000000       0.000000       0.000000       0.000324       
74      0.000289       0.000000       0.000000       0.000000       0.000289       
126     0.000169       0.000000       0.000000       0.000000       0.000169       
128     0.000196       0.000000       0.000000       0.000000       0.000196       
155     0.000225       0.000000       0.000000       0.000000       0.000225       
180     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005800       0.000015       0.000015       0.000156       0.993000

Band 4   energy = -7.37912 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000529       0.000000       0.000000       0.000000       0.000529       
91      0.000225       0.000000       0.000000       0.000000       0.000225       
117     0.000324       0.000000       0.000000       0.000000       0.000324       
140     0.000324       0.000000       0.000000       0.000000       0.000324       
163     0.000324       0.000000       0.000000       0.000000       0.000324       
205     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005775       0.000083       0.000084       0.000002       0.993000

Band 5   energy = -7.30836 eV
atom    s              p_x            p_y            p_z            tot            
43      0.000225       0.000000       0.000000       0.000000       0.000225       
82      0.000400       0.000000       0.000000       0.000000       0.000400       
107     0.000289       0.000000       0.000000       0.000000       0.000289       
151     0.000289       0.000000       0.000000       0.000000       0.000289       
178     0.000324       0.000000       0.000000       0.000000       0.000324       
188     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005970       0.000098       0.000095       0.000006       0.993000

Band 6   energy = -7.30835 eV
atom    s              p_x            p_y            p_z            tot            
53      0.000289       0.000000       0.000000       0.000000       0.000289       
78      0.000256       0.000000       0.000000       0.000000       0.000256       
101     0.000256       0.000000       0.000000       0.000000       0.000256       
145     0.000225       0.000000       0.000000       0.000000       0.000225       
154     0.000256       0.000000       0.000000       0.000000       0.000256       
185     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005912       0.000027       0.000035       0.000148       0.993000

Band 7   energy = -7.20397 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000484       0.000000       0.000000       0.000001       0.000485       
46      0.000484       0.000004       0.000000       0.000000       0.000488       
73      0.000484       0.000000       0.000004       0.000000       0.000488       
99      0.000484       0.000000       0.000000       0.000001       0.000485       
125     0.001156       0.000000       0.000000       0.000000       0.001156       
215     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.006637       0.000089       0.000089       0.000115       0.993000

Band 8   energy = -6.67956 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000324       0.000000       0.000000       0.000004       0.000328       
14      0.000729       0.000016       0.000025       0.000009       0.000779       
41      0.000729       0.000081       0.000001       0.000009       0.000820       
68      0.000729       0.000004       0.000100       0.000000       0.000833       
90      0.000529       0.000000       0.000000       0.000000       0.000529       
215     0.008649       0.000004       0.000000       0.000025       0.008678       
tot     0.014770       0.000241       0.000247       0.000194       0.992000

Band 9   energy = -6.37249 eV
atom    s              p_x            p_y            p_z            tot            
34      0.000196       0.000001       0.000000       0.000000       0.000197       
50      0.000324       0.000000       0.000000       0.000000       0.000324       
77      0.000324       0.000000       0.000001       0.000000       0.000325       
98      0.000324       0.000000       0.000000       0.000001       0.000325       
129     0.000625       0.000000       0.000000       0.000000       0.000625       
205     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005561       0.000044       0.000054       0.000361       0.992000

Band 10   energy = -6.37249 eV
atom    s              p_x            p_y            p_z            tot            
3       0.000289       0.000000       0.000000       0.000000       0.000289       
7       0.000289       0.000000       0.000000       0.000000       0.000289       
40      0.000289       0.000000       0.000000       0.000000       0.000289       
65      0.000289       0.000000       0.000000       0.000000       0.000289       
118     0.000361       0.000000       0.000000       0.000000       0.000361       
120     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005552       0.000242       0.000158       0.000038       0.992000

Band 11   energy = -6.34860 eV
atom    s              p_x            p_y            p_z            tot            
16      0.000576       0.000001       0.000000       0.000000       0.000577       
31      0.000576       0.000000       0.000000       0.000000       0.000576       
74      0.000289       0.000000       0.000001       0.000000       0.000290       
126     0.000529       0.000000       0.000000       0.000000       0.000529       
137     0.000961       0.000000       0.000000       0.000000       0.000961       
166     0.000225       0.000000       0.000000       0.000009       0.000234       
tot     0.006562       0.000133       0.000158       0.000119       0.992000

Band 12   energy = -6.34859 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000004       0.000260       
51      0.000529       0.000000       0.000000       0.000000       0.000529       
80      0.000529       0.000000       0.000000       0.000000       0.000529       
117     0.000441       0.000000       0.000000       0.000000       0.000441       
162     0.000324       0.000000       0.000000       0.000000       0.000324       
210     0.000841       0.000000       0.000000       0.000000       0.000841       
tot     0.006544       0.000120       0.000070       0.000137       0.992000

Band 13   energy = -6.33398 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000169       0.000000       0.000000       0.000000       0.000169       
85      0.000169       0.000000       0.000000       0.000000       0.000169       
93      0.000169       0.000000       0.000000       0.000000       0.000169       
96      0.000169       0.000000       0.000000       0.000000       0.000169       
104     0.000169       0.000000       0.000000       0.000000       0.000169       
106     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004656       0.000150       0.000249       0.000012       0.992000

Band 14   energy = -6.28707 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000361       0.000004       0.000000       0.000000       0.000365       
99      0.001089       0.000000       0.000000       0.000000       0.001089       
116     0.000961       0.000000       0.000000       0.000000       0.000961       
143     0.000529       0.000000       0.000004       0.000000       0.000533       
170     0.000529       0.000004       0.000000       0.000000       0.000533       
206     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.006823       0.000117       0.000085       0.000236       0.992000

Band 15   energy = -6.28429 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000529       0.000000       0.000000       0.000004       0.000533       
107     0.000784       0.000000       0.000000       0.000000       0.000784       
133     0.000324       0.000000       0.000000       0.000000       0.000324       
151     0.000361       0.000000       0.000000       0.000000       0.000361       
178     0.000400       0.000001       0.000001       0.000000       0.000402       
188     0.000841       0.000000       0.000000       0.000000       0.000841       
tot     0.006483       0.000110       0.000110       0.000206       0.992000

Band 16   energy = -6.28426 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000484       0.000000       0.000000       0.000000       0.000484       
88      0.000400       0.000000       0.000000       0.000000       0.000400       
145     0.000400       0.000000       0.000000       0.000000       0.000400       
176     0.000529       0.000000       0.000000       0.000000       0.000529       
190     0.000400       0.000000       0.000000       0.000000       0.000400       
194     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.006515       0.000172       0.000191       0.000089       0.992000

Band 17   energy = -6.17402 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000225       0.000000       0.000001       0.000000       0.000226       
82      0.000196       0.000000       0.000000       0.000009       0.000205       
108     0.000441       0.000000       0.000000       0.000000       0.000441       
148     0.000196       0.000000       0.000000       0.000000       0.000196       
149     0.000196       0.000000       0.000000       0.000000       0.000196       
172     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004737       0.000039       0.000102       0.000218       0.992000

Band 18   energy = -6.17402 eV
atom    s              p_x            p_y            p_z            tot            
127     0.000196       0.000000       0.000000       0.000000       0.000196       
131     0.000324       0.000000       0.000000       0.000000       0.000324       
136     0.000256       0.000000       0.000000       0.000000       0.000256       
167     0.000225       0.000000       0.000000       0.000000       0.000225       
208     0.000289       0.000000       0.000000       0.000000       0.000289       
212     0.000256       0.000000       0.000000       0.000000       0.000256       
