# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000400       0.000000       0.000001       0.000000       0.000401       
41      0.000400       0.000004       0.000000       0.000000       0.000404       
68      0.000400       0.000000       0.000004       0.000000       0.000404       
144     0.000100       0.000000       0.000000       0.000000       0.000100       
173     0.000100       0.000000       0.000000       0.000000       0.000100       
215     0.002116       0.000000       0.000000       0.000001       0.002117       
tot     0.007196       0.000004       0.000005       0.000001       0.994000

Band 2   energy = -7.65160 eV
atom    s              p_x            p_y            p_z            tot            
14      0.001849       0.000016       0.000036       0.000025       0.001926       
41      0.001849       0.000121       0.000001       0.000009       0.001980       
68      0.001849       0.000004       0.000169       0.000000       0.002022       
173     0.000169       0.000025       0.000000       0.000000       0.000194       
197     0.000169       0.000000       0.000000       0.000036       0.000205       
215     0.021025       0.000004       0.000000       0.000025       0.021054       
tot     0.028662       0.000248       0.000306       0.000160       0.993000

Band 3   energy = -7.22995 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000169       0.000000       0.000000       0.000000       0.000169       
15      0.000169       0.000000       0.000000       0.000000       0.000169       
30      0.000225       0.000000       0.000000       0.000000       0.000225       
136     0.000289       0.000000       0.000000       0.000000       0.000289       
167     0.000196       0.000000       0.000000       0.000000       0.000196       
176     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005638       0.000011       0.000008       0.000166       0.993000

Band 4   energy = -7.22992 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000256       0.000000       0.000000       0.000000       0.000256       
45      0.000225       0.000000       0.000000       0.000000       0.000225       
72      0.000196       0.000000       0.000000       0.000000       0.000196       
148     0.000324       0.000000       0.000000       0.000000       0.000324       
177     0.000256       0.000000       0.000000       0.000000       0.000256       
188     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005536       0.000096       0.000100       0.000000       0.993000

Band 5   energy = -7.18947 eV
atom    s              p_x            p_y            p_z            tot            
31      0.000144       0.000000       0.000000       0.000000       0.000144       
49      0.000196       0.000000       0.000000       0.000000       0.000196       
56      0.000196       0.000000       0.000000       0.000000       0.000196       
65      0.000225       0.000000       0.000000       0.000000       0.000225       
141     0.000169       0.000000       0.000000       0.000000       0.000169       
204     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005390       0.000011       0.000009       0.000176       0.993000

Band 6   energy = -7.18947 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000000       0.000256       
77      0.000225       0.000000       0.000000       0.000000       0.000225       
80      0.000196       0.000000       0.000000       0.000000       0.000196       
129     0.000196       0.000000       0.000000       0.000000       0.000196       
156     0.000225       0.000000       0.000000       0.000000       0.000225       
183     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005358       0.000098       0.000098       0.000000       0.993000

Band 7   energy = -7.17106 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000256       0.000000       0.000000       0.000000       0.000256       
33      0.000256       0.000000       0.000000       0.000000       0.000256       
62      0.000256       0.000000       0.000000       0.000000       0.000256       
99      0.000324       0.000000       0.000000       0.000000       0.000324       
125     0.000361       0.000000       0.000000       0.000000       0.000361       
139     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005903       0.000066       0.000064       0.000047       0.993000

Band 8   energy = -6.67035 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000256       0.000000       0.000000       0.000004       0.000260       
90      0.000900       0.000000       0.000000       0.000000       0.000900       
160     0.000529       0.000000       0.000001       0.000000       0.000530       
187     0.000529       0.000000       0.000000       0.000000       0.000529       
196     0.000529       0.000000       0.000000       0.000000       0.000529       
215     0.004900       0.000000       0.000000       0.000004       0.004904       
tot     0.010674       0.000173       0.000226       0.000143       0.993000

Band 9   energy = -6.25419 eV
atom    s              p_x            p_y            p_z            tot            
101     0.000256       0.000000       0.000000       0.000000       0.000256       
