# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.33528 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000049       0.000000       0.000000       0.000000       0.000049       
19      0.000049       0.000000       0.000000       0.000000       0.000049       
46      0.000049       0.000000       0.000000       0.000000       0.000049       
52      0.000049       0.000000       0.000000       0.000000       0.000049       
125     0.000064       0.000000       0.000000       0.000000       0.000064       
215     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.004917       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.48439 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000961       0.000009       0.000016       0.000000       0.000986       
41      0.000961       0.000009       0.000000       0.000009       0.000979       
68      0.000961       0.000004       0.000025       0.000000       0.000990       
144     0.000441       0.000000       0.000004       0.000000       0.000445       
173     0.000441       0.000009       0.000000       0.000000       0.000450       
215     0.005184       0.000004       0.000000       0.000016       0.005204       
tot     0.012684       0.000098       0.000111       0.000075       0.993000

Band 3   energy = -7.33549 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000484       0.000000       0.000000       0.000000       0.000484       
79      0.000144       0.000000       0.000000       0.000001       0.000145       
102     0.000196       0.000000       0.000000       0.000000       0.000196       
128     0.000289       0.000000       0.000000       0.000000       0.000289       
155     0.000289       0.000000       0.000000       0.000000       0.000289       
211     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005727       0.000038       0.000035       0.000090       0.993000

Band 4   energy = -7.33547 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000196       0.000000       0.000000       0.000000       0.000196       
13      0.000169       0.000000       0.000000       0.000000       0.000169       
74      0.000324       0.000000       0.000000       0.000000       0.000324       
126     0.000196       0.000000       0.000000       0.000000       0.000196       
180     0.000169       0.000000       0.000000       0.000000       0.000169       
213     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005675       0.000094       0.000103       0.000000       0.993000

Band 5   energy = -7.27315 eV
atom    s              p_x            p_y            p_z            tot            
4       0.000256       0.000000       0.000000       0.000000       0.000256       
43      0.000225       0.000000       0.000000       0.000000       0.000225       
84      0.000196       0.000000       0.000000       0.000000       0.000196       
105     0.000256       0.000000       0.000000       0.000000       0.000256       
176     0.000256       0.000000       0.000000       0.000000       0.000256       
190     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005837       0.000044       0.000036       0.000023       0.993000

Band 6   energy = -7.27312 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000225       0.000000       0.000000       0.000000       0.000225       
88      0.000256       0.000000       0.000000       0.000000       0.000256       
101     0.000324       0.000000       0.000000       0.000000       0.000324       
145     0.000324       0.000000       0.000000       0.000000       0.000324       
185     0.000256       0.000000       0.000000       0.000000       0.000256       
194     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005822       0.000080       0.000077       0.000024       0.993000

Band 7   energy = -7.17643 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000441       0.000000       0.000000       0.000001       0.000442       
46      0.000441       0.000004       0.000000       0.000000       0.000445       
73      0.000441       0.000000       0.000001       0.000000       0.000442       
99      0.000484       0.000000       0.000000       0.000000       0.000484       
125     0.000961       0.000000       0.000000       0.000000       0.000961       
215     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.006384       0.000087       0.000084       0.000107       0.993000

Band 8   energy = -6.65374 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000676       0.000009       0.000025       0.000016       0.000726       
41      0.000676       0.000081       0.000001       0.000004       0.000762       
68      0.000676       0.000004       0.000100       0.000000       0.000780       
