# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.24938 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000100       0.000000       0.000000       0.000000       0.000100       
41      0.000100       0.000000       0.000000       0.000000       0.000100       
68      0.000100       0.000000       0.000000       0.000000       0.000100       
144     0.000049       0.000000       0.000000       0.000000       0.000049       
173     0.000049       0.000000       0.000000       0.000000       0.000049       
215     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.004871       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.44596 eV
atom    s              p_x            p_y            p_z            tot            
14      0.001600       0.000009       0.000016       0.000004       0.001629       
41      0.001600       0.000036       0.000000       0.000004       0.001640       
68      0.001600       0.000001       0.000064       0.000000       0.001665       
173     0.000324       0.000016       0.000000       0.000000       0.000340       
197     0.000324       0.000000       0.000000       0.000016       0.000340       
215     0.010404       0.000004       0.000000       0.000025       0.010433       
tot     0.018473       0.000133       0.000156       0.000096       0.993000

Band 3   energy = -7.22948 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000196       0.000000       0.000000       0.000000       0.000196       
72      0.000169       0.000000       0.000000       0.000000       0.000169       
148     0.000225       0.000000       0.000000       0.000000       0.000225       
151     0.000169       0.000000       0.000000       0.000000       0.000169       
191     0.000225       0.000000       0.000000       0.000000       0.000225       
194     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005527       0.000104       0.000099       0.000000       0.993000

Band 4   energy = -7.22945 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000256       0.000000       0.000000       0.000000       0.000256       
44      0.000225       0.000000       0.000000       0.000000       0.000225       
60      0.000256       0.000000       0.000000       0.000000       0.000256       
176     0.000225       0.000000       0.000000       0.000000       0.000225       
189     0.000225       0.000000       0.000000       0.000000       0.000225       
190     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005514       0.000024       0.000024       0.000114       0.993000

Band 5   energy = -7.20274 eV
atom    s              p_x            p_y            p_z            tot            
31      0.000225       0.000000       0.000000       0.000000       0.000225       
40      0.000196       0.000000       0.000000       0.000000       0.000196       
56      0.000144       0.000000       0.000000       0.000000       0.000144       
74      0.000196       0.000000       0.000000       0.000000       0.000196       
137     0.000196       0.000000       0.000000       0.000000       0.000196       
180     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005462       0.000011       0.000016       0.000143       0.993000

Band 6   energy = -7.20273 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000256       0.000000       0.000000       0.000000       0.000256       
50      0.000169       0.000000       0.000000       0.000000       0.000169       
51      0.000225       0.000000       0.000000       0.000000       0.000225       
80      0.000196       0.000000       0.000000       0.000000       0.000196       
163     0.000196       0.000000       0.000000       0.000000       0.000196       
210     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005349       0.000065       0.000065       0.000000       0.993000

Band 7   energy = -7.16349 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000225       0.000000       0.000000       0.000000       0.000225       
19      0.000225       0.000000       0.000000       0.000000       0.000225       
33      0.000225       0.000000       0.000000       0.000000       0.000225       
46      0.000225       0.000000       0.000000       0.000000       0.000225       
99      0.000289       0.000000       0.000000       0.000000       0.000289       
125     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.005916       0.000068       0.000068       0.000048       0.993000

Band 8   energy = -6.57881 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000400       0.000081       0.000000       0.000004       0.000485       
68      0.000400       0.000001       0.000100       0.000000       0.000501       
90      0.000900       0.000000       0.000000       0.000000       0.000900       
160     0.000484       0.000000       0.000001       0.000000       0.000485       
187     0.000484       0.000000       0.000000       0.000000       0.000484       
215     0.006724       0.000001       0.000000       0.000009       0.006734       
tot     0.012376       0.000186       0.000210       0.000161       0.993000

Band 9   energy = -6.24976 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000196       0.000000       0.000001       0.000000       0.000197       
82      0.000400       0.000000       0.000000       0.000000       0.000400       
101     0.000529       0.000000       0.000000       0.000000       0.000529       
115     0.000289       0.000000       0.000000       0.000000       0.000289       
145     0.000289       0.000000       0.000001       0.000000       0.000290       
172     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005840       0.000047       0.000237       0.000178       0.992000

Band 10   energy = -6.24970 eV
atom    s              p_x            p_y            p_z            tot            
105     0.000841       0.000000       0.000000       0.000000       0.000841       
113     0.000441       0.000000       0.000000       0.000000       0.000441       
136     0.000256       0.000000       0.000004       0.000000       0.000260       
149     0.000256       0.000000       0.000004       0.000000       0.000260       
176     0.000400       0.000004       0.000000       0.000000       0.000404       
189     0.000256       0.000000       0.000000       0.000004       0.000260       
tot     0.005862       0.000284       0.000089       0.000082       0.992000

Band 11   energy = -6.20997 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000324       0.000000       0.000000       0.000000       0.000324       
84      0.000256       0.000000       0.000000       0.000000       0.000256       
107     0.000400       0.000000       0.000000       0.000000       0.000400       
112     0.000576       0.000000       0.000000       0.000000       0.000576       
123     0.000400       0.000000       0.000000       0.000000       0.000400       
178     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.006003       0.000166       0.000121       0.000096       0.992000

Band 12   energy = -6.20995 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000225       0.000000       0.000000       0.000004       0.000229       
69      0.000441       0.000000       0.000004       0.000000       0.000445       
88      0.000576       0.000000       0.000000       0.000000       0.000576       
121     0.000841       0.000000       0.000000       0.000000       0.000841       
185     0.000324       0.000000       0.000000       0.000000       0.000324       
194     0.000289       0.000001       0.000000       0.000000       0.000290       
tot     0.005953       0.000130       0.000225       0.000074       0.992000

Band 13   energy = -6.20008 eV
atom    s              p_x            p_y            p_z            tot            
34      0.000324       0.000000       0.000000       0.000000       0.000324       
54      0.000324       0.000000       0.000000       0.000000       0.000324       
77      0.000256       0.000000       0.000000       0.000000       0.000256       
120     0.000289       0.000000       0.000000       0.000000       0.000289       
129     0.000289       0.000000       0.000000       0.000000       0.000289       
169     0.000225       0.000000       0.000000       0.000001       0.000226       
tot     0.005397       0.000003       0.000238       0.000290       0.992000

Band 14   energy = -6.20007 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000289       0.000000       0.000000       0.000000       0.000289       
65      0.000289       0.000000       0.000000       0.000000       0.000289       
87      0.000361       0.000000       0.000000       0.000000       0.000361       
110     0.000196       0.000000       0.000000       0.000000       0.000196       
118     0.000529       0.000000       0.000000       0.000000       0.000529       
193     0.000196       0.000001       0.000000       0.000000       0.000197       
tot     0.005332       0.000364       0.000019       0.000083       0.992000

Band 15   energy = -6.19781 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000400       0.000001       0.000001       0.000000       0.000402       
36      0.000400       0.000000       0.000000       0.000001       0.000401       
99      0.000961       0.000000       0.000000       0.000000       0.000961       
116     0.000676       0.000000       0.000000       0.000000       0.000676       
143     0.000441       0.000000       0.000004       0.000000       0.000445       
206     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.006754       0.000125       0.000116       0.000166       0.992000

Band 16   energy = -6.19734 eV
atom    s              p_x            p_y            p_z            tot            
16      0.000256       0.000000       0.000000       0.000000       0.000256       
31      0.000289       0.000000       0.000000       0.000000       0.000289       
74      0.000361       0.000000       0.000000       0.000001       0.000362       
126     0.000400       0.000000       0.000000       0.000000       0.000400       
137     0.000576       0.000000       0.000000       0.000000       0.000576       
210     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005919       0.000045       0.000111       0.000301       0.992000

Band 17   energy = -6.19732 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000361       0.000000       0.000001       0.000000       0.000362       
49      0.000441       0.000001       0.000000       0.000000       0.000442       
56      0.000361       0.000000       0.000000       0.000000       0.000361       
92      0.000289       0.000004       0.000000       0.000000       0.000293       
128     0.000441       0.000000       0.000000       0.000000       0.000441       
162     0.000729       0.000000       0.000000       0.000000       0.000729       
tot     0.005997       0.000180       0.000056       0.000105       0.992000

Band 18   energy = -6.19652 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000169       0.000000       0.000000       0.000000       0.000169       
85      0.000169       0.000000       0.000000       0.000000       0.000169       
93      0.000169       0.000000       0.000000       0.000000       0.000169       
96      0.000169       0.000000       0.000000       0.000000       0.000169       
104     0.000169       0.000000       0.000000       0.000000       0.000169       
