# folder         lattice            volumen    total energy (Ry)
0.94            2.374375           9.465268         -33.49767648
0.95            2.399634           9.770576         -33.51105211
0.96            2.424894          10.082379         -33.52124282
0.97            2.450153          10.400747         -33.52859070
0.98            2.475412          10.725747         -33.53320030
0.99            2.500671          11.057448         -33.53546263
1.00            2.525931          11.395919         -33.53532321
1.01            2.551190          11.741226         -33.53309481
1.02            2.576449          12.093440         -33.52893336
1.03            2.601709          12.452628         -33.52294689
1.04            2.626968          12.818859         -33.51532334
1.05            2.652227          13.192200         -33.50616744
1.06            2.677487          13.572721         -33.49562920
