# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.32915 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000049       0.000000       0.000000       0.000000       0.000049       
19      0.000064       0.000000       0.000000       0.000000       0.000064       
46      0.000064       0.000000       0.000000       0.000000       0.000064       
52      0.000049       0.000000       0.000000       0.000000       0.000049       
73      0.000064       0.000000       0.000000       0.000000       0.000064       
125     0.000064       0.000000       0.000000       0.000000       0.000064       
tot     0.004928       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.36474 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000289       0.000000       0.000000       0.000000       0.000289       
38      0.000289       0.000000       0.000000       0.000000       0.000289       
67      0.000289       0.000000       0.000000       0.000000       0.000289       
90      0.000400       0.000000       0.000000       0.000000       0.000400       
144     0.000289       0.000000       0.000000       0.000000       0.000289       
215     0.000361       0.000000       0.000000       0.000004       0.000365       
tot     0.006604       0.000063       0.000061       0.000059       0.993000

Band 3   energy = -7.33762 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000400       0.000000       0.000000       0.000000       0.000400       
91      0.000196       0.000000       0.000000       0.000000       0.000196       
117     0.000256       0.000000       0.000000       0.000000       0.000256       
140     0.000289       0.000000       0.000000       0.000000       0.000289       
163     0.000289       0.000000       0.000000       0.000000       0.000289       
210     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.005579       0.000078       0.000083       0.000000       0.993000

Band 4   energy = -7.33751 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000225       0.000000       0.000000       0.000000       0.000225       
65      0.000169       0.000000       0.000000       0.000000       0.000169       
74      0.000225       0.000000       0.000000       0.000000       0.000225       
146     0.000169       0.000000       0.000000       0.000000       0.000169       
155     0.000196       0.000000       0.000000       0.000000       0.000196       
180     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005626       0.000009       0.000009       0.000169       0.993000

Band 5   energy = -7.29103 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000196       0.000000       0.000000       0.000000       0.000196       
82      0.000361       0.000000       0.000000       0.000000       0.000361       
107     0.000256       0.000000       0.000000       0.000000       0.000256       
151     0.000289       0.000000       0.000000       0.000000       0.000289       
178     0.000289       0.000000       0.000000       0.000000       0.000289       
188     0.000361       0.000000       0.000000       0.000000       0.000361       
tot     0.005845       0.000101       0.000098       0.000003       0.993000

Band 6   energy = -7.29052 eV
atom    s              p_x            p_y            p_z            tot            
53      0.000256       0.000000       0.000000       0.000000       0.000256       
78      0.000256       0.000000       0.000000       0.000000       0.000256       
101     0.000196       0.000000       0.000000       0.000000       0.000196       
105     0.000196       0.000000       0.000000       0.000000       0.000196       
154     0.000256       0.000000       0.000000       0.000000       0.000256       
185     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005827       0.000020       0.000018       0.000151       0.993000

Band 7   energy = -7.15371 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000576       0.000000       0.000000       0.000000       0.000576       
46      0.000576       0.000001       0.000000       0.000000       0.000577       
73      0.000576       0.000000       0.000001       0.000000       0.000577       
99      0.000225       0.000000       0.000000       0.000004       0.000229       
125     0.001024       0.000000       0.000000       0.000000       0.001024       
158     0.000225       0.000000       0.000004       0.000000       0.000229       
tot     0.006494       0.000080       0.000099       0.000089       0.993000

Band 8   energy = -6.42787 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000625       0.000009       0.000009       0.000000       0.000643       
41      0.000625       0.000009       0.000000       0.000009       0.000643       
68      0.000625       0.000001       0.000016       0.000000       0.000642       
