# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 861
# natomwfc = 864
# n_atoms  = 216

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.14458 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000025       0.000000       0.000000       0.000000       0.000025       
2       0.000025       0.000000       0.000000       0.000000       0.000025       
3       0.000025       0.000000       0.000000       0.000000       0.000025       
4       0.000025       0.000000       0.000000       0.000000       0.000025       
5       0.000025       0.000000       0.000000       0.000000       0.000025       
6       0.000025       0.000000       0.000000       0.000000       0.000025       
tot     0.005400       0.000000       0.000000       0.000000       0.994000

Band 2   energy = -7.12609 eV
atom    s              p_x            p_y            p_z            tot            
28      0.000256       0.000000       0.000000       0.000000       0.000256       
34      0.000169       0.000000       0.000000       0.000000       0.000169       
104     0.000289       0.000000       0.000000       0.000000       0.000289       
109     0.000196       0.000000       0.000000       0.000000       0.000196       
142     0.000169       0.000000       0.000000       0.000000       0.000169       
212     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.005645       0.000098       0.000099       0.000000       0.993000

Band 3   energy = -7.12609 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000324       0.000000       0.000000       0.000000       0.000324       
96      0.000289       0.000000       0.000000       0.000000       0.000289       
123     0.000256       0.000000       0.000000       0.000000       0.000256       
161     0.000196       0.000000       0.000000       0.000000       0.000196       
181     0.000225       0.000000       0.000000       0.000000       0.000225       
196     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.005700       0.000038       0.000038       0.000096       0.993000

Band 4   energy = -7.12609 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000081       0.000000       0.000000       0.000000       0.000081       
23      0.000081       0.000000       0.000000       0.000000       0.000081       
90      0.000081       0.000000       0.000000       0.000000       0.000081       
108     0.000081       0.000000       0.000000       0.000000       0.000081       
117     0.000100       0.000000       0.000000       0.000000       0.000100       
199     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003986       0.000000       0.000000       0.000187       0.993000

Band 5   energy = -7.12609 eV
atom    s              p_x            p_y            p_z            tot            
17      0.000225       0.000000       0.000000       0.000000       0.000225       
75      0.000169       0.000000       0.000000       0.000000       0.000169       
84      0.000169       0.000000       0.000000       0.000000       0.000169       
156     0.000225       0.000000       0.000000       0.000000       0.000225       
183     0.000196       0.000000       0.000000       0.000000       0.000196       
202     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005240       0.000089       0.000088       0.000000       0.993000

Band 6   energy = -7.12609 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000169       0.000000       0.000000       0.000000       0.000169       
66      0.000289       0.000000       0.000000       0.000000       0.000289       
85      0.000225       0.000000       0.000000       0.000000       0.000225       
120     0.000196       0.000000       0.000000       0.000000       0.000196       
174     0.000225       0.000000       0.000000       0.000000       0.000225       
193     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005539       0.000033       0.000032       0.000027       0.993000

Band 7   energy = -7.12608 eV
atom    s              p_x            p_y            p_z            tot            
25      0.000196       0.000000       0.000000       0.000000       0.000196       
56      0.000196       0.000000       0.000000       0.000000       0.000196       
103     0.000196       0.000000       0.000000       0.000000       0.000196       
130     0.000196       0.000000       0.000000       0.000000       0.000196       
133     0.000196       0.000000       0.000000       0.000000       0.000196       
164     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005460       0.000089       0.000089       0.000000       0.993000

Band 8   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000289       0.000000       0.000000       0.000000       0.000289       
31      0.000400       0.000000       0.000000       0.000000       0.000400       
74      0.000289       0.000000       0.000001       0.000000       0.000290       
104     0.000324       0.000000       0.000000       0.000000       0.000324       
128     0.000441       0.000000       0.000000       0.000000       0.000441       
168     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005825       0.000181       0.000110       0.000136       0.992000

Band 9   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
35      0.000361       0.000000       0.000000       0.000000       0.000361       
69      0.000441       0.000000       0.000000       0.000000       0.000441       
105     0.000324       0.000000       0.000000       0.000000       0.000324       
116     0.000289       0.000000       0.000000       0.000000       0.000289       
177     0.000400       0.000000       0.000000       0.000001       0.000401       
196     0.000289       0.000000       0.000000       0.000000       0.000289       
tot     0.005325       0.000021       0.000168       0.000170       0.992000

Band 10   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000196       0.000000       0.000000       0.000000       0.000196       
77      0.000361       0.000000       0.000000       0.000000       0.000361       
107     0.000289       0.000000       0.000000       0.000000       0.000289       
134     0.000256       0.000000       0.000000       0.000000       0.000256       
171     0.000196       0.000000       0.000000       0.000000       0.000196       
185     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004933       0.000040       0.000260       0.000110       0.992000

Band 11   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
17      0.000225       0.000000       0.000000       0.000000       0.000225       
27      0.000196       0.000000       0.000000       0.000000       0.000196       
102     0.000196       0.000001       0.000000       0.000000       0.000197       
136     0.000144       0.000000       0.000000       0.000000       0.000144       
169     0.000196       0.000000       0.000000       0.000000       0.000196       
190     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.004432       0.000238       0.000054       0.000136       0.992000

Band 12   energy = -6.12197 eV
atom    s              p_x            p_y            p_z            tot            
42      0.000169       0.000000       0.000000       0.000000       0.000169       
72      0.000256       0.000000       0.000000       0.000000       0.000256       
82      0.000289       0.000000       0.000000       0.000000       0.000289       
