# MeshCutoff     Total energy (eV)          Delta E
100              -327.1299                  --
150              -327.1299                   0.0000
200              -327.1307                   0.0008
250              -327.1309                   0.0002
300              -327.1312                   0.0003
350              -327.1312                   0.0000
400              -327.1312                   0.0000
450              -327.1312                   0.0000
500              -327.1312                   0.0000
550              -327.1312                   0.0000
600              -327.1313                   0.0001
650              -327.1313                   0.0000
700              -327.1313                   0.0000
750              -327.1313                   0.0000
800              -327.1313                   0.0000
850              -327.1313                   0.0000
900              -327.1313                   0.0000
950              -327.1313                   0.0000
