# k-grid         Total energy (eV)          Delta E
1                -297.2750                  --
2                -323.9475                   26.6725
3                -326.5526                    2.6051
4                -326.9954                    0.4428
5                -327.0973                    0.1019
6                -327.1229                    0.0256
7                -327.1293                    0.0064
8                -327.1304                    0.0011
9                -327.1310                    0.0006
10               -327.1312                    0.0002
11               -327.1313                    0.0001
12               -327.1313                    0.0000
13               -327.1313                    0.0000
14               -327.1313                    0.0000
15               -327.1313                    0.0000
