# EIG file: diamond.EIG   fdf file: diamond_scf.fdf
# Fermi energy (eV): -6.070552
# ElectronicTemperature: 0.025852 eV   OccupationFunction: FD   OccupationMPOrder: 1   degeneracy: 2.0
# k-index  spin  band  eigenvalue(eV)  occupation
     1     1      1      -22.582204    2.000000
     1     1      2      -17.403374    2.000000
     1     1      3      -13.422156    2.000000
     1     1      4      -13.422127    2.000000
     1     1      5       -3.195000    0.000000
     1     1      6       -1.401243    0.000000
     1     1      7        8.298571    0.000000
     1     1      8        8.298632    0.000000
     1     1      9       14.943217    0.000000
     1     1     10       16.355276    0.000000
     1     1     11       30.616749    0.000000
     1     1     12       33.213768    0.000000
     1     1     13       33.213808    0.000000
     1     1     14       42.512298    0.000000
     1     1     15       45.213126    0.000000
     1     1     16       45.213248    0.000000
     1     1     17       46.202590    0.000000
     1     1     18       61.692919    0.000000
     1     1     19       65.818852    0.000000
     1     1     20       69.248970    0.000000
     1     1     21       69.250085    0.000000
     1     1     22       75.985946    0.000000
     1     1     23       96.089767    0.000000
     1     1     24      125.613798    0.000000
     1     1     25      125.616790    0.000000
     1     1     26      130.885515    0.000000
     2     1      1      -23.577434    2.000000
     2     1      2      -16.108879    2.000000
     2     1      3      -13.578885    2.000000
     2     1      4      -13.023483    2.000000
     2     1      5       -2.805112    0.000000
     2     1      6       -0.036136    0.000000
     2     1      7        7.171925    0.000000
     2     1      8        7.226422    0.000000
     2     1      9       14.665493    0.000000
     2     1     10       16.025396    0.000000
     2     1     11       27.240074    0.000000
     2     1     12       35.038056    0.000000
     2     1     13       35.176650    0.000000
     2     1     14       38.938552    0.000000
     2     1     15       45.821227    0.000000
     2     1     16       47.123903    0.000000
     2     1     17       48.449729    0.000000
     2     1     18       57.835584    0.000000
     2     1     19       65.014187    0.000000
     2     1     20       78.871110    0.000000
     2     1     21       84.439728    0.000000
     2     1     22       86.366958    0.000000
     2     1     23       97.362626    0.000000
     2     1     24      121.752891    0.000000
     2     1     25      124.522142    0.000000
     2     1     26      156.471517    0.000000
     3     1      1      -24.237058    2.000000
     3     1      2      -16.018839    2.000000
     3     1      3      -13.148191    2.000000
     3     1      4      -12.348052    2.000000
     3     1      5       -1.832509    0.000000
     3     1      6        2.398177    0.000000
     3     1      7        5.416270    0.000000
     3     1      8        5.547110    0.000000
     3     1      9       14.483823    0.000000
     3     1     10       15.923735    0.000000
     3     1     11       24.617080    0.000000
     3     1     12       32.224204    0.000000
     3     1     13       33.885284    0.000000
     3     1     14       39.474236    0.000000
     3     1     15       45.544512    0.000000
     3     1     16       50.200372    0.000000
     3     1     17       51.137139    0.000000
     3     1     18       53.347035    0.000000
     3     1     19       64.822250    0.000000
     3     1     20       82.473215    0.000000
     3     1     21       86.170679    0.000000
     3     1     22       86.407784    0.000000
     3     1     23       94.208985    0.000000
     3     1     24      122.688692    0.000000
     3     1     25      125.443844    0.000000
     3     1     26      134.134161    0.000000
     4     1      1      -24.547105    2.000000
     4     1      2      -17.121581    2.000000
     4     1      3      -11.723608    2.000000
     4     1      4      -11.484357    2.000000
     4     1      5       -0.696534    0.000000
     4     1      6        3.451337    0.000000
     4     1      7        3.572786    0.000000
     4     1      8        5.440956    0.000000
     4     1      9       14.139855    0.000000
     4     1     10       16.575479    0.000000
     4     1     11       22.659555    0.000000
     4     1     12       28.867883    0.000000
     4     1     13       32.516193    0.000000
     4     1     14       40.034775    0.000000
     4     1     15       44.304620    0.000000
     4     1     16       50.214381    0.000000
     4     1     17       51.659697    0.000000
     4     1     18       54.723133    0.000000
     4     1     19       63.165045    0.000000
     4     1     20       76.322945    0.000000
     4     1     21       77.611967    0.000000
     4     1     22       83.443332    0.000000
     4     1     23       92.036609    0.000000
     4     1     24       98.817495    0.000000
     4     1     25      116.940852    0.000000
     4     1     26      170.506015    0.000000
     5     1      1      -24.508413    2.000000
     5     1      2      -18.278679    2.000000
     5     1      3      -10.635308    2.000000
     5     1      4      -10.472001    2.000000
     5     1      5        0.353008    0.000000
     5     1      6        1.787427    0.000000
     5     1      7        1.861608    0.000000
     5     1      8        7.898243    0.000000
     5     1      9       14.321205    0.000000
     5     1     10       17.613246    0.000000
     5     1     11       21.103548    0.000000
     5     1     12       27.152142    0.000000
     5     1     13       31.751983    0.000000
     5     1     14       35.332277    0.000000
     5     1     15       46.738361    0.000000
     5     1     16       48.753144    0.000000
     5     1     17       50.227167    0.000000
     5     1     18       58.244502    0.000000
     5     1     19       60.916182    0.000000
     5     1     20       65.931970    0.000000
     5     1     21       77.796430    0.000000
     5     1     22       80.262981    0.000000
     5     1     23       89.631716    0.000000
     5     1     24       95.890351    0.000000
     5     1     25      104.197124    0.000000
     5     1     26      187.204163    0.000000
     6     1      1      -24.135565    2.000000
     6     1      2      -19.183831    2.000000
     6     1      3      -10.149541    2.000000
     6     1      4      -10.149486    2.000000
     6     1      5        0.951749    0.000000
     6     1      6        0.951785    0.000000
     6     1      7        1.204584    0.000000
     6     1      8        8.769586    0.000000
     6     1      9       14.595324    0.000000
     6     1     10       19.913791    0.000000
     6     1     11       19.913804    0.000000
     6     1     12       27.243756    0.000000
     6     1     13       31.621522    0.000000
     6     1     14       31.621534    0.000000
     6     1     15       47.289709    0.000000
     6     1     16       49.197299    0.000000
     6     1     17       49.197415    0.000000
     6     1     18       59.755965    0.000000
     6     1     19       59.756075    0.000000
     6     1     20       62.198065    0.000000
     6     1     21       80.287583    0.000000
     6     1     22       80.288021    0.000000
     6     1     23       89.826237    0.000000
     6     1     24       92.935398    0.000000
     6     1     25       92.935975    0.000000
     6     1     26      186.066074    0.000000
     7     1      1      -23.467064    2.000000
     7     1      2      -19.724032    2.000000
     7     1      3      -11.111626    2.000000
     7     1      4      -10.323362    2.000000
     7     1      5        0.904997    0.000000
     7     1      6        1.308730    0.000000
     7     1      7        1.950721    0.000000
     7     1      8        8.645153    0.000000
     7     1      9       13.867645    0.000000
     7     1     10       19.211165    0.000000
     7     1     11       20.676003    0.000000
     7     1     12       29.746028    0.000000
     7     1     13       31.080967    0.000000
     7     1     14       31.970076    0.000000
     7     1     15       46.604258    0.000000
     7     1     16       49.255930    0.000000
     7     1     17       51.634424    0.000000
     7     1     18       58.523355    0.000000
     7     1     19       58.533652    0.000000
     7     1     20       61.070541    0.000000
     7     1     21       77.720617    0.000000
     7     1     22       77.994466    0.000000
     7     1     23       94.779785    0.000000
     7     1     24       95.358218    0.000000
     7     1     25      100.826295    0.000000
     7     1     26      173.249218    0.000000
     8     1      1      -22.596729    2.000000
     8     1      2      -19.805719    2.000000
     8     1      3      -12.883435    2.000000
     8     1      4      -11.036872    2.000000
     8     1      5        0.181752    0.000000
     8     1      6        2.705451    0.000000
     8     1      7        3.751289    0.000000
     8     1      8        8.070569    0.000000
     8     1      9       12.030376    0.000000
     8     1     10       19.085249    0.000000
     8     1     11       19.171313    0.000000
     8     1     12       31.220936    0.000000
     8     1     13       32.622450    0.000000
     8     1     14       35.840102    0.000000
     8     1     15       45.610465    0.000000
     8     1     16       50.385223    0.000000
     8     1     17       54.061113    0.000000
     8     1     18       56.142785    0.000000
     8     1     19       57.685120    0.000000
     8     1     20       64.928429    0.000000
     8     1     21       73.844291    0.000000
     8     1     22       89.322893    0.000000
     8     1     23       94.811756    0.000000
     8     1     24      102.045541    0.000000
     8     1     25      105.511924    0.000000
     8     1     26      145.034868    0.000000
     9     1      1      -21.690372    2.000000
     9     1      2      -19.360927    2.000000
     9     1      3      -14.851186    2.000000
     9     1      4      -11.922984    2.000000
     9     1      5       -0.763543    0.000000
     9     1      6        4.625016    0.000000
     9     1      7        5.675716    0.000000
     9     1      8        6.418116    0.000000
     9     1      9       10.919531    0.000000
     9     1     10       17.919407    0.000000
     9     1     11       19.984242    0.000000
     9     1     12       32.215219    0.000000
     9     1     13       33.410239    0.000000
     9     1     14       41.903638    0.000000
     9     1     15       44.626245    0.000000
     9     1     16       49.189292    0.000000
     9     1     17       54.493171    0.000000
     9     1     18       56.404794    0.000000
     9     1     19       59.373154    0.000000
     9     1     20       65.639438    0.000000
     9     1     21       70.391925    0.000000
     9     1     22       72.668286    0.000000
     9     1     23      107.725694    0.000000
     9     1     24      108.046556    0.000000
     9     1     25      116.009668    0.000000
     9     1     26      163.302262    0.000000
    10     1      1      -20.839189    2.000000
    10     1      2      -18.849324    2.000000
    10     1      3      -16.207162    2.000000
    10     1      4      -12.707654    2.000000
    10     1      5       -1.615136    0.000000
    10     1      6        3.390202    0.000000
    10     1      7        6.517276    0.000000
    10     1      8        7.576119    0.000000
    10     1      9       11.488316    0.000000
    10     1     10       17.126273    0.000000
    10     1     11       21.766510    0.000000
    10     1     12       32.958072    0.000000
    10     1     13       34.134686    0.000000
    10     1     14       44.241965    0.000000
    10     1     15       45.919058    0.000000
    10     1     16       48.714289    0.000000
    10     1     17       51.724858    0.000000
    10     1     18       59.164173    0.000000
    10     1     19       61.959394    0.000000
    10     1     20       64.135530    0.000000
    10     1     21       71.626824    0.000000
    10     1     22       77.823553    0.000000
    10     1     23      113.075783    0.000000
    10     1     24      115.613450    0.000000
    10     1     25      126.837810    0.000000
    10     1     26      177.212384    0.000000
    11     1      1      -20.035706    2.000000
    11     1      2      -19.657402    2.000000
    11     1      3      -15.555138    2.000000
    11     1      4      -13.251832    2.000000
    11     1      5       -2.191653    0.000000
    11     1      6        0.503612    0.000000
    11     1      7        7.924036    0.000000
    11     1      8        8.499666    0.000000
    11     1      9       13.173053    0.000000
    11     1     10       16.447433    0.000000
    11     1     11       24.365375    0.000000
    11     1     12       33.127507    0.000000
    11     1     13       34.659965    0.000000
    11     1     14       43.198749    0.000000
    11     1     15       45.881815    0.000000
    11     1     16       46.963777    0.000000
    11     1     17       57.796793    0.000000
    11     1     18       59.140090    0.000000
    11     1     19       59.585535    0.000000
    11     1     20       62.556812    0.000000
    11     1     21       72.425251    0.000000
    11     1     22       86.564179    0.000000
    11     1     23      116.304501    0.000000
    11     1     24      119.135412    0.000000
    11     1     25      125.529582    0.000000
    11     1     26      178.882131    0.000000
    12     1      1      -21.292548    2.000000
    12     1      2      -18.732491    2.000000
    12     1      3      -14.195030    2.000000
    12     1      4      -13.500057    2.000000
    12     1      5       -2.618724    0.000000
    12     1      6       -1.458829    0.000000
    12     1      7        8.561206    0.000000
    12     1      8        8.692818    0.000000
    12     1      9       14.898486    0.000000
    12     1     10       15.947985    0.000000
    12     1     11       27.874168    0.000000
    12     1     12       32.805837    0.000000
    12     1     13       34.716758    0.000000
    12     1     14       41.101767    0.000000
    12     1     15       44.290098    0.000000
    12     1     16       51.922172    0.000000
    12     1     17       51.934115    0.000000
    12     1     18       54.416183    0.000000
    12     1     19       62.517776    0.000000
    12     1     20       66.007695    0.000000
    12     1     21       67.362317    0.000000
    12     1     22       73.728382    0.000000
    12     1     23      107.044192    0.000000
    12     1     24      124.351976    0.000000
    12     1     25      124.849921    0.000000
    12     1     26      148.376490    0.000000
    13     1      1      -23.577434    2.000000
