        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      2.29.1

Compiled with OpenMP support (max 8 threads).
Python version 3.12.3
Spglib version 2.5.0

"mesh.conf" was read as phonopy configuration file.
Crystal structure was read from "phonopy_disp.yaml".
Unit of length: angstrom
Mesh sampling mode
Settings:
  Non-analytical term correction (NAC): on
  Sampling mesh: [10 10 10]
  Supercell: [3 3 3]
Spacegroup: Fd-3m (227)
Number of symmetry operations in supercell: 1296
Use -v option to watch primitive cell, unit cell, and supercell structures.

NAC parameters were not found in "phonopy_disp.yaml".
NAC parameters were read from "BORN".
Force sets were not found in "phonopy_disp.yaml".
Forces and displacements were read from "FORCE_SETS".
Computing force constants...
Max drift of force constants: -0.000003 (zz) -0.000003 (zz)

Mesh numbers: [10 10 10]
Number of irreducible q-points on sampling mesh: 110/1000
Calculating phonons on sampling mesh...
Calculating thermal properties...
Cutoff frequency: 0.00000
Number of phonon frequencies less than cutoff frequency: 0/6000
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      34.5994914      0.0000000      0.0000000     34.5994914
      10.000      34.5994914      0.0000012      0.0000148     34.5994914
      20.000      34.5994903      0.0004135      0.0023400     34.5994986
      30.000      34.5994764      0.0027941      0.0111121     34.5995602
      40.000      34.5994249      0.0080474      0.0277600     34.5997468
      50.000      34.5993032      0.0169972      0.0557091     34.6001530
      60.000      34.5990690      0.0307351      0.0993415     34.6009131
      70.000      34.5986681      0.0506034      0.1641467     34.6022103
      80.000      34.5980312      0.0782176      0.2567211     34.6042886
      90.000      34.5970717      0.1154333      0.3840743     34.6074607
     100.000      34.5956839      0.1642381      0.5526677     34.6121077
     110.000      34.5937417      0.2266113      0.7676713     34.6186690
     120.000      34.5911002      0.3043967      1.0326448     34.6276278
     130.000      34.5875970      0.3992171      1.3495760     34.6394952
     140.000      34.5830545      0.5124305      1.7191092     34.6547948
     150.000      34.5772834      0.6451199      2.1408173     34.6740514
     160.000      34.5700845      0.7981029      2.6134358     34.6977809
     170.000      34.5612518      0.9719509      3.1350352     34.7264834
     180.000      34.5505747      1.1670111      3.7031431     34.7606367
     190.000      34.5378403      1.3834277      4.3148324     34.8006916
     200.000      34.5228351      1.6211628      4.9667981     34.8470677
     210.000      34.5053467      1.8800149      5.6554294     34.9001498
     220.000      34.4851656      2.1596370      6.3768864     34.9602857
     230.000      34.4620863      2.4595538      7.1271782     35.0277837
     240.000      34.4359088      2.7791794      7.9022412     35.1029118
     250.000      34.4064393      3.1178330      8.6980142     35.1858975
     260.000      34.3734912      3.4747562      9.5105071     35.2769278
     270.000      34.3368860      3.8491279     10.3358599     35.3761505
     280.000      34.2964534      4.2400793     11.1703920     35.4836756
     290.000      34.2520321      4.6467077     12.0106403     35.5995774
     300.000      34.2034700      5.0680888     12.8533869     35.7238967
     310.000      34.1506243      5.5032880     13.6956766     35.8566436
     320.000      34.0933613      5.9513700     14.5348265     35.9977997
     330.000      34.0315570      6.4114076     15.3684276     36.1473216
     340.000      33.9650964      6.8824890     16.1943409     36.3051426
     350.000      33.8938734      7.3637230     17.0106884     36.4711765
     360.000      33.8177910      7.8542447     17.8158410     36.6453191
     370.000      33.7367604      8.3532187     18.6084038     36.8274513
     380.000      33.6507011      8.8598424     19.3871997     37.0174412
     390.000      33.5595406      9.3733476     20.1512519     37.2151461
     400.000      33.4632137      9.8930020     20.8997671     37.4204144
     410.000      33.3616624     10.4181103     21.6321176     37.6330876
     420.000      33.2548355     10.9480139     22.3478244     37.8530013
     430.000      33.1426882     11.4820912     23.0465416     38.0799874
     440.000      33.0251817     12.0197569     23.7280410     38.3138747
     450.000      32.9022829     12.5604611     24.3921977     38.5544904
     460.000      32.7739641     13.1036885     25.0389775     38.8016608
     470.000      32.6402023     13.6489571     25.6684244     39.0552122
     480.000      32.5009796     14.1958171     26.2806502     39.3149718
     490.000      32.3562821     14.7438495     26.8758242     39.5807683
     500.000      32.2061000     15.2926644     27.4541646     39.8524322
     510.000      32.0504274     15.8418999     28.0159304     40.1297964
     520.000      31.8892617     16.3912208     28.5614146     40.4126965
     530.000      31.7226037     16.9403164     29.0909375     40.7009715
     540.000      31.5504571     17.4889002     29.6048416     40.9944632
     550.000      31.3728283     18.0367074     30.1034865     41.2930174
     560.000      31.1897264     18.5834946     30.5872449     41.5964833
     570.000      31.0011626     19.1290375     31.0564985     41.9047140
     580.000      30.8071505     19.6731307     31.5116354     42.2175662
     590.000      30.6077054     20.2155856     31.9530467     42.5349009
     600.000      30.4028448     20.7562299     32.3811245     42.8565827
     610.000      30.1925874     21.2949064     32.7962602     43.1824803
     620.000      29.9769537     21.8314716     33.1988418     43.5124661
     630.000      29.7559654     22.3657954     33.5892537     43.8464165
     640.000      29.5296456     22.8977597     33.9678744     44.1842119
     650.000      29.2980185     23.4272577     34.3350764     44.5257360
     660.000      29.0611090     23.9541932     34.6912248     44.8708765
     670.000      28.8189434     24.4784797     35.0366769     45.2195248
     680.000      28.5715485     25.0000398     35.3717817     45.5715756
     690.000      28.3189520     25.5188046     35.6968794     45.9269271
     700.000      28.0611820     26.0347128     36.0123013     46.2854809
     710.000      27.7982674     26.5477106     36.3183694     46.6471419
     720.000      27.5302376     27.0577508     36.6153965     47.0118182
     730.000      27.2571224     27.5647923     36.9036860     47.3794207
     740.000      26.9789519     28.0687998     37.1835319     47.7498638
     750.000      26.6957566     28.5697435     37.4552190     48.1230642
     760.000      26.4075673     29.0675981     37.7190228     48.4989419
     770.000      26.1144150     29.5623432     37.9752098     48.8774193
     780.000      25.8163309     30.0539624     38.2240374     49.2584215
     790.000      25.5133462     30.5424432     38.4657546     49.6418763
     800.000      25.2054925     31.0277765     38.7006015     50.0277137
     810.000      24.8928012     31.5099568     38.9288100     50.4158662
     820.000      24.5753039     31.9889813     39.1506038     50.8062685
     830.000      24.2530321     32.4648500     39.3661986     51.1988576
     840.000      23.9260174     32.9375657     39.5758026     51.5935725
     850.000      23.5942913     33.4071331     39.7796163     51.9903544
     860.000      23.2578852     33.8735593     39.9778333     52.3891462
     870.000      22.9168305     34.3368534     40.1706398     52.7898930
     880.000      22.5711585     34.7970262     40.3582155     53.1925416
     890.000      22.2209004     35.2540900     40.5407335     53.5970405
     900.000      21.8660870     35.7080588     40.7183605     54.0033399
     910.000      21.5067495     36.1589477     40.8912571     54.4113919
     920.000      21.1429183     36.6067734     41.0595782     54.8211498
     930.000      20.7746241     37.0515533     41.2234729     55.2325687
     940.000      20.4018973     37.4933060     41.3830849     55.6456050
     950.000      20.0247680     37.9320511     41.5385525     56.0602166
     960.000      19.6432663     38.3678088     41.6900090     56.4763627
     970.000      19.2574218     38.8006001     41.8375830     56.8940038
     980.000      18.8672641     39.2304467     41.9813983     57.3131018
     990.000      18.4728226     39.6573708     42.1215740     57.7336197
    1000.000      18.0741263     40.0813952     42.2582251     58.1555216

Summary of calculation was written in "phonopy.yaml".
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

