#ENCUT    Energy (eV)     Delta_E (eV)
200      -17.804261      -
250      -18.388391      0.584130
300      -18.326040      0.062351
350      -18.221636      0.104404
400      -18.194445      0.027191
450      -18.187092      0.007353
500      -18.183833      0.003259
550      -18.184731      0.000898
600      -18.188449      0.003718
650      -18.192154      0.003705
700      -18.194773      0.002619
750      -18.196336      0.001563
800      -18.197682      0.001346
850      -18.198601      0.000919
900      -18.199201      0.000600
950      -18.199522      0.000321
